link_id,stone_id,observation_id,method,confidence,rationale,review_status
DR91:fortidsminder:115064,DR91,fortidsminder:115064,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR77:fortidsminder:115088,DR77,fortidsminder:115088,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR86:fortidsminder:115091,DR86,fortidsminder:115091,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR80:fortidsminder:115111,DR80,fortidsminder:115111,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR98:fortidsminder:115326,DR98,fortidsminder:115326,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR36:fortidsminder:116527,DR36,fortidsminder:116527,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR41:fortidsminder:116756,DR41,fortidsminder:116756,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR42:fortidsminder:116756,DR42,fortidsminder:116756,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR46:fortidsminder:117029,DR46,fortidsminder:117029,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR30:fortidsminder:117059,DR30,fortidsminder:117059,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR29:fortidsminder:117063,DR29,fortidsminder:117063,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
