stone_id,dr_number,wikidata_id,runor_id,name,period,scope,survival_status,record_status,record_note
DREM85308,DR EM85;308,Q12322131,cc1bb4b2-d370-4e86-9fed-9068bbfe0919,Klejtrup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR86,DR 86,Q12323762,c0d345c5-db95-4975-bfc2-1ed070b7b1c2,Langå-stenen 3,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR140,DR 140,Q12325231,bace5343-def7-4f9b-823b-c989d2635260,Lyngbystenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR211,DR 211,Q12329667,c01f1c24-56f1-4cba-b9d1-c4568ba6bbf1,Nørre Nærå-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR40,DR 40,Q12332812,da1804d9-f416-44ea-ae01-06da63297ce2,Randbølstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR135,DR 135,Q12332995,28a79141-ef3c-4920-a2a4-39e6b5c4940f,Ravnkildestenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR134,DR 134,Q12332996,45ff65a2-12ed-4983-84ca-8c4e284f1d47,Ravnkildestenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR239,DR 239,Q12333980,b41b8a86-fc8c-42c2-af36-733ae3f45b2e,Runestenen Gørlev 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DREM85221,DR EM85;221,Q12333981,8ffd2c42-689d-4131-9a8d-855178e3ea16,Runestenen Jelling 3,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DREM85239,DR EM85;239,Q12333982,5d98c58c-87f3-4ba7-afe3-8d4991b3aaeb,Runestenen Gørlev 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR229,DR 229,Q12333983,37a6e312-3516-4033-9fa5-48721449f6a1,Runestenen Sandby 3,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR228,DR 228,Q12333984,9a8d70c3-19dd-44f9-8f71-3aff4baceec6,Sandbystenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR202,DR 202,Q12334194,2220a719-318a-424f-b68e-0d1ed9bf4039,Rønninge-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR62,DR 62,Q12335438,b6283ba8-47f8-4eba-b46c-5a60f5a18b60,Sjellestenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR133,DR 133,Q12335704,cbbdc0e8-a05b-473a-91ed-7bbf8ef7854e,Skivum-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
Q12335796,,Q12335796,,Skovbystenen,vikingetid,present_day_denmark,unknown,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu."
DR119,DR 119,Q12336645,03b56a25-42a0-47fa-91b3-f19dc97aabf6,Spentrupstenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DREM85265,DR EM85;265,Q12336725,2068d995-8ff3-4f4c-807b-8d9fe2f605e9,Sporupstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR17,DR 17,Q12336886,629bfe6b-385b-4f96-88be-4f5306665a69,Starup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
